ticker,company_name,cik,filing_type,accession_number,filing_date,period_of_report,primary_document,source_url,local_path,size_bytes
AAPL,Apple Inc.,0000320193,10-K,0000320193-25-000079,2025-10-31,2025-09-27,aapl-20250927.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm,data/raw/AAPL/10-K_2025-09-27_0000320193-25-000079.htm,1520208
AAPL,Apple Inc.,0000320193,10-K,0000320193-24-000123,2024-11-01,2024-09-28,aapl-20240928.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/aapl-20240928.htm,data/raw/AAPL/10-K_2024-09-28_0000320193-24-000123.htm,1503780
AAPL,Apple Inc.,0000320193,10-Q,0000320193-26-000006,2026-01-30,2025-12-27,aapl-20251227.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019326000006/aapl-20251227.htm,data/raw/AAPL/10-Q_2025-12-27_0000320193-26-000006.htm,765973
AAPL,Apple Inc.,0000320193,10-Q,0000320193-25-000073,2025-08-01,2025-06-28,aapl-20250628.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019325000073/aapl-20250628.htm,data/raw/AAPL/10-Q_2025-06-28_0000320193-25-000073.htm,888048
MSFT,Microsoft Corporation,0000789019,10-K,0000950170-25-100235,2025-07-30,2025-06-30,msft-20250630.htm,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm,data/raw/MSFT/10-K_2025-06-30_0000950170-25-100235.htm,8158067
MSFT,Microsoft Corporation,0000789019,10-K,0000950170-24-087843,2024-07-30,2024-06-30,msft-20240630.htm,https://www.sec.gov/Archives/edgar/data/789019/000095017024087843/msft-20240630.htm,data/raw/MSFT/10-K_2024-06-30_0000950170-24-087843.htm,6860911
MSFT,Microsoft Corporation,0000789019,10-Q,0001193125-26-027207,2026-01-28,2025-12-31,msft-20251231.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312526027207/msft-20251231.htm,data/raw/MSFT/10-Q_2025-12-31_0001193125-26-027207.htm,7483278
MSFT,Microsoft Corporation,0000789019,10-Q,0001193125-25-256321,2025-10-29,2025-09-30,msft-20250930.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312525256321/msft-20250930.htm,data/raw/MSFT/10-Q_2025-09-30_0001193125-25-256321.htm,5597461
GOOGL,Alphabet Inc.,0001652044,10-K,0001652044-26-000018,2026-02-05,2025-12-31,goog-20251231.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm,data/raw/GOOGL/10-K_2025-12-31_0001652044-26-000018.htm,2616499
GOOGL,Alphabet Inc.,0001652044,10-K,0001652044-25-000014,2025-02-05,2024-12-31,goog-20241231.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm,data/raw/GOOGL/10-K_2024-12-31_0001652044-25-000014.htm,2528344
GOOGL,Alphabet Inc.,0001652044,10-Q,0001652044-25-000091,2025-10-30,2025-09-30,goog-20250930.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000091/goog-20250930.htm,data/raw/GOOGL/10-Q_2025-09-30_0001652044-25-000091.htm,2196990
GOOGL,Alphabet Inc.,0001652044,10-Q,0001652044-25-000062,2025-07-24,2025-06-30,goog-20250630.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000062/goog-20250630.htm,data/raw/GOOGL/10-Q_2025-06-30_0001652044-25-000062.htm,2199722
AMZN,"Amazon.com, Inc.",0001018724,10-K,0001018724-26-000004,2026-02-06,2025-12-31,amzn-20251231.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000004/amzn-20251231.htm,data/raw/AMZN/10-K_2025-12-31_0001018724-26-000004.htm,1968342
AMZN,"Amazon.com, Inc.",0001018724,10-K,0001018724-25-000004,2025-02-07,2024-12-31,amzn-20241231.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm,data/raw/AMZN/10-K_2024-12-31_0001018724-25-000004.htm,1922355
AMZN,"Amazon.com, Inc.",0001018724,10-Q,0001018724-25-000123,2025-10-31,2025-09-30,amzn-20250930.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000123/amzn-20250930.htm,data/raw/AMZN/10-Q_2025-09-30_0001018724-25-000123.htm,1405879
AMZN,"Amazon.com, Inc.",0001018724,10-Q,0001018724-25-000086,2025-08-01,2025-06-30,amzn-20250630.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000086/amzn-20250630.htm,data/raw/AMZN/10-Q_2025-06-30_0001018724-25-000086.htm,1387163
TSLA,"Tesla, Inc.",0001318605,10-K,0001628280-26-003952,2026-01-29,2025-12-31,tsla-20251231.htm,https://www.sec.gov/Archives/edgar/data/1318605/000162828026003952/tsla-20251231.htm,data/raw/TSLA/10-K_2025-12-31_0001628280-26-003952.htm,2391529
TSLA,"Tesla, Inc.",0001318605,10-K,0001628280-25-003063,2025-01-30,2024-12-31,tsla-20241231.htm,https://www.sec.gov/Archives/edgar/data/1318605/000162828025003063/tsla-20241231.htm,data/raw/TSLA/10-K_2024-12-31_0001628280-25-003063.htm,2596459
TSLA,"Tesla, Inc.",0001318605,10-Q,0001628280-26-026673,2026-04-23,2026-03-31,tsla-20260331.htm,https://www.sec.gov/Archives/edgar/data/1318605/000162828026026673/tsla-20260331.htm,data/raw/TSLA/10-Q_2026-03-31_0001628280-26-026673.htm,1240759
TSLA,"Tesla, Inc.",0001318605,10-Q,0001628280-25-045968,2025-10-23,2025-09-30,tsla-20250930.htm,https://www.sec.gov/Archives/edgar/data/1318605/000162828025045968/tsla-20250930.htm,data/raw/TSLA/10-Q_2025-09-30_0001628280-25-045968.htm,1573631
NVDA,NVIDIA Corporation,0001045810,10-K,0001045810-26-000021,2026-02-25,2026-01-25,nvda-20260125.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,data/raw/NVDA/10-K_2026-01-25_0001045810-26-000021.htm,1967816
NVDA,NVIDIA Corporation,0001045810,10-K,0001045810-25-000023,2025-02-26,2025-01-26,nvda-20250126.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm,data/raw/NVDA/10-K_2025-01-26_0001045810-25-000023.htm,2067520
NVDA,NVIDIA Corporation,0001045810,10-Q,0001045810-25-000230,2025-11-19,2025-10-26,nvda-20251026.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000230/nvda-20251026.htm,data/raw/NVDA/10-Q_2025-10-26_0001045810-25-000230.htm,1381330
NVDA,NVIDIA Corporation,0001045810,10-Q,0001045810-25-000209,2025-08-27,2025-07-27,nvda-20250727.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000209/nvda-20250727.htm,data/raw/NVDA/10-Q_2025-07-27_0001045810-25-000209.htm,1349423
META,"Meta Platforms, Inc.",0001326801,10-K,0001628280-26-003942,2026-01-29,2025-12-31,meta-20251231.htm,https://www.sec.gov/Archives/edgar/data/1326801/000162828026003942/meta-20251231.htm,data/raw/META/10-K_2025-12-31_0001628280-26-003942.htm,2371750
META,"Meta Platforms, Inc.",0001326801,10-K,0001326801-25-000017,2025-01-30,2024-12-31,meta-20241231.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680125000017/meta-20241231.htm,data/raw/META/10-K_2024-12-31_0001326801-25-000017.htm,2369769
META,"Meta Platforms, Inc.",0001326801,10-Q,0001628280-25-047240,2025-10-30,2025-09-30,meta-20250930.htm,https://www.sec.gov/Archives/edgar/data/1326801/000162828025047240/meta-20250930.htm,data/raw/META/10-Q_2025-09-30_0001628280-25-047240.htm,1798449
META,"Meta Platforms, Inc.",0001326801,10-Q,0001628280-25-036791,2025-07-31,2025-06-30,meta-20250630.htm,https://www.sec.gov/Archives/edgar/data/1326801/000162828025036791/meta-20250630.htm,data/raw/META/10-Q_2025-06-30_0001628280-25-036791.htm,1717169
NFLX,"Netflix, Inc.",0001065280,10-K,0001065280-26-000034,2026-01-23,2025-12-31,nflx-20251231.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528026000034/nflx-20251231.htm,data/raw/NFLX/10-K_2025-12-31_0001065280-26-000034.htm,2137739
NFLX,"Netflix, Inc.",0001065280,10-K,0001065280-25-000044,2025-01-27,2024-12-31,nflx-20241231.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528025000044/nflx-20241231.htm,data/raw/NFLX/10-K_2024-12-31_0001065280-25-000044.htm,2034858
NFLX,"Netflix, Inc.",0001065280,10-Q,0001065280-26-000138,2026-04-17,2026-03-31,nflx-20260331.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528026000138/nflx-20260331.htm,data/raw/NFLX/10-Q_2026-03-31_0001065280-26-000138.htm,1231266
NFLX,"Netflix, Inc.",0001065280,10-Q,0001065280-25-000406,2025-10-22,2025-09-30,nflx-20250930.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528025000406/nflx-20250930.htm,data/raw/NFLX/10-Q_2025-09-30_0001065280-25-000406.htm,1711602
